team_id,reason,evidence,scraped_at
-13129606,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-13131492,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13132910,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-13133278,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-13163359,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13170033,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13185973,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13194037,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13194362,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13208246,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13208937,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13211133,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13213527,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13225259,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-13229579,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-13241077,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-13249267,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13249985,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-13260861,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13261808,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-13261818,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13261958,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13266193,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13267489,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-13272072,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13276641,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13277111,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13277847,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-13277910,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13278293,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-13278808,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-13289309,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13290150,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-13291984,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-13292922,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-13298768,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13299509,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13299543,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13323190,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-13323202,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13323224,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-13323349,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13324143,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13338321,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13338497,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-13338577,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-13340018,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13340491,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13342606,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13343902,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13345204,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13351485,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13351594,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13352316,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-13353825,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-13357434,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13357626,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13358639,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-13506600,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-13852739,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-13984308,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-14040362,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-14041650,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-14074221,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-14100450,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-14101075,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-14102931,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-14140723,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-14140726,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-14159519,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-14160626,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-14178208,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-14207556,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-14215538,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-14270788,technical_no_show,club_name_raw='Equipo Casa (No asignado)',2026-09-04T05:57:42.318008+00:00
-14288680,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
-14317958,technical_no_show,club_name_raw='Equipo Fuera (No asignado)',2026-09-04T05:57:42.318008+00:00
