season,season_id,category_base,stage,status,targets_total,targets_completed,targets_failed,started_at,last_updated_at,completed_at,notes,gh_run_id,gh_run_branch
2025-2026,21,VETERANOS,acta_partido,complete,67,67,0,2026-08-05T05:01:08.831564+00:00,2026-08-05T05:01:23.619425+00:00,2026-08-05T05:01:23.617317+00:00,,30976634901,crawl/acta_partido-VETERANOS-2025-2026-20260805T050053Z
2025-2026,21,ALL,clubs,complete_with_failures,1146,1146,326,2026-08-03T00:55:34.560156+00:00,2026-08-03T01:19:36.062936+00:00,2026-08-03T01:19:36.061131+00:00,,,
2025-2026,21,ALL,core,complete,1210,1210,0,2026-08-02T23:43:04.554556+00:00,2026-08-03T00:49:45.528434+00:00,2026-08-03T00:49:45.526877+00:00,,,
2025-2026,21,AFICIONADO,fichajugador,complete,150088,150088,0,2026-08-05T11:33:57.087936+00:00,2026-08-05T11:33:57.257149+00:00,2026-08-05T11:33:57.255208+00:00,,31001669654,crawl/fichajugador-AFICIONADO-2025-2026-20260805T113335Z
2025-2026,21,ALEVIN,fichajugador,complete,150088,150088,0,2026-08-05T10:27:42.306096+00:00,2026-08-05T10:59:54.400436+00:00,2026-08-05T10:59:54.397996+00:00,,30996891533,crawl/fichajugador-ALEVIN-2025-2026-20260805T102723Z
2025-2026,21,BENJAMIN,fichajugador,complete,27547,27547,0,2026-08-02T21:49:04.818319+00:00,2026-08-02T23:06:11.180545+00:00,2026-08-02T23:06:11.178258+00:00,,,
2025-2026,21,CADETE,fichajugador,complete,150088,150088,0,2026-08-05T11:17:12.392487+00:00,2026-08-05T11:17:12.438687+00:00,2026-08-05T11:17:12.436507+00:00,,31000568515,crawl/fichajugador-CADETE-2025-2026-20260805T111652Z
2025-2026,21,INFANTIL,fichajugador,complete,150088,150088,0,2026-08-05T11:08:43.691718+00:00,2026-08-05T11:08:44.340444+00:00,2026-08-05T11:08:44.338261+00:00,,30999998239,crawl/fichajugador-INFANTIL-2025-2026-20260805T110823Z
2025-2026,21,JUVENIL,fichajugador,complete,150088,150088,0,2026-08-05T11:25:20.295391+00:00,2026-08-05T11:25:20.875710+00:00,2026-08-05T11:25:20.873909+00:00,,31001123930,crawl/fichajugador-JUVENIL-2025-2026-20260805T112505Z
2025-2026,21,PREBENJAMIN,fichajugador,complete,9743,9743,0,2026-08-01T23:27:47.844547+00:00,2026-08-01T23:27:47.848158+00:00,2026-08-01T23:27:47.845539+00:00,,,
2025-2026,21,SENIOR,fichajugador,complete,150088,150088,0,2026-08-05T11:41:54.687987+00:00,2026-08-05T11:41:55.042310+00:00,2026-08-05T11:41:55.040064+00:00,,31002227960,crawl/fichajugador-SENIOR-2025-2026-20260805T114138Z
2025-2026,21,UNIVERSITARIO,fichajugador,complete,150088,150088,0,2026-08-05T11:58:46.530726+00:00,2026-08-05T11:58:47.044326+00:00,2026-08-05T11:58:47.042186+00:00,,31003359601,crawl/fichajugador-UNIVERSITARIO-2025-2026-20260805T115830Z
2025-2026,21,VETERANOS,fichajugador,complete,150088,150088,0,2026-08-05T11:50:15.595327+00:00,2026-08-05T11:50:15.643655+00:00,2026-08-05T11:50:15.641409+00:00,,31002785165,crawl/fichajugador-VETERANOS-2025-2026-20260805T114959Z
