page_kind,group_id,competition_id,season_id,game_type_id,url,raw_saved_path
calendario,17145697,17145693,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=17145693&grupo=17145697&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/17145697.html
clasificaciones,17145697,17145693,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=17145693&grupo=17145697&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/17145697.html
goleadores,17145697,17145693,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17145693&grupo=17145697&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/17145697.html
calendario,17145698,17145693,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=17145693&grupo=17145698&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/17145698.html
clasificaciones,17145698,17145693,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=17145693&grupo=17145698&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/17145698.html
goleadores,17145698,17145693,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17145693&grupo=17145698&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/17145698.html
calendario,17145699,17145693,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=17145693&grupo=17145699&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/17145699.html
clasificaciones,17145699,17145693,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=17145693&grupo=17145699&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/17145699.html
goleadores,17145699,17145693,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17145693&grupo=17145699&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/17145699.html
calendario,17145700,17145693,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=17145693&grupo=17145700&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/17145700.html
