player_id,season,season_id,competition_id,competition,group_id,group,team_id,team,club_name_raw,team_position,team_points,source_url,scraped_at
10006707,2023-2024,19,17145624,PRIMERA ALEVIN,17145625,Grupo 1,17138004,C.D.E. FOOTBALL DREAMS EXPERIENCE 'B',C.D.E. FOOTBALL DREAMS EXPERIENCE,3,52,https://www.rffm.es/fichajugador/10006707?temporada=19,2026-08-06T09:19:54.299422+00:00
10006631,2023-2024,19,17145651,PREFERENTE FEMENINO CADETE,17145652,Grupo Único,12231557,C.D. FUENLABRADA ATLANTIS 'A',C.D. FUENLABRADA ATLANTIS,5,55,https://www.rffm.es/fichajugador/10006631?temporada=19,2026-08-06T09:19:54.424681+00:00
10006631,2023-2024,19,17145644,PREFERENTE FEMENINO JUVENIL,17145645,Grupo Único,15290536,C.D. FUENLABRADA ATLANTIS 'A',C.D. FUENLABRADA ATLANTIS,12,43,https://www.rffm.es/fichajugador/10006631?temporada=19,2026-08-06T09:19:54.424681+00:00
10007053,2023-2024,19,17145570,SEGUNDA INFANTIL,17145602,Grupo 33,1694,ADEPO PALOMERAS 'C',ADEPO PALOMERAS,8,28,https://www.rffm.es/fichajugador/10007053?temporada=19,2026-08-06T09:19:54.495094+00:00
10007030,2023-2024,19,17145505,SEGUNDA CADETE,17145523,Grupo 18,3351732,A.D. ALHONDIGA 'C',A.D. ALHONDIGA,7,41,https://www.rffm.es/fichajugador/10007030?temporada=19,2026-08-06T09:19:54.538088+00:00
10007185,2023-2024,19,17145624,PRIMERA ALEVIN,17145633,Grupo 8,4933337,FEPE GETAFE III 'B',FEPE GETAFE III,4,32,https://www.rffm.es/fichajugador/10007185?temporada=19,2026-08-06T09:19:54.563140+00:00
10007483,2023-2024,19,17145570,SEGUNDA INFANTIL,17145589,Grupo 19,3359589,FEPE GETAFE III 'C',FEPE GETAFE III,12,12,https://www.rffm.es/fichajugador/10007483?temporada=19,2026-08-06T09:19:54.716220+00:00
10007484,2023-2024,19,17145570,SEGUNDA INFANTIL,17145581,Grupo 11,594,U.D. VELILLA 'B',U.D. VELILLA,7,25,https://www.rffm.es/fichajugador/10007484?temporada=19,2026-08-06T09:19:54.891144+00:00
10007223,2023-2024,19,17145865,PRIMERA ALEVIN F-7,17145877,GRUPO 12,16317913,ASOC. CULTURAL EL BERCIAL 'A',ASOC. CULTURAL EL BERCIAL,11,10,https://www.rffm.es/fichajugador/10007223?temporada=19,2026-08-06T09:19:55.050741+00:00
10007223,2023-2024,19,17145570,SEGUNDA INFANTIL,19705198,Grupo 47,864,ASOC. CULTURAL EL BERCIAL ,ASOC. CULTURAL EL BERCIAL,4,56,https://www.rffm.es/fichajugador/10007223?temporada=19,2026-08-06T09:19:55.050741+00:00
10007321,2023-2024,19,17145653,PRIMERA FEMENINO CADETE,19576068,Grupo 6,13562246,C.D. GETAFE FEMENINO 'B',C.D. GETAFE FEMENINO,5,46,https://www.rffm.es/fichajugador/10007321?temporada=19,2026-08-06T09:19:55.434051+00:00
100074,2023-2024,19,20515180,VETERANOS MASCULINO F11,20515400,GRUPO UNICO,14585911,ESCUELA DE FUTBOL CARABANCHEL ,ESCUELA DE FUTBOL CARABANCHEL,5,30,https://www.rffm.es/fichajugador/100074?temporada=19,2026-08-06T09:19:55.570006+00:00
10007636,2023-2024,19,21412194,T. CAMPEONES PREFERENTE ALEVIN F-7 FASE FINAL,21412195,SEMIFINALES Y FINAL,334056,A.D.C. SAN FERMIN 'A',A.D.C. SAN FERMIN,0,0,https://www.rffm.es/fichajugador/10007636?temporada=19,2026-08-06T09:19:55.784201+00:00
10007636,2023-2024,19,21366866,TORNEO DE CAMPEONES PREFERENTE ALEVIN F-7,21394205,CUADRANGULAR 2,334056,A.D.C. SAN FERMIN 'A',A.D.C. SAN FERMIN,2,4,https://www.rffm.es/fichajugador/10007636?temporada=19,2026-08-06T09:19:55.784201+00:00
10007636,2023-2024,19,17145856,PREFERENTE ALEVIN F-7,17145862,GRUPO 6,334056,A.D.C. SAN FERMIN 'A',A.D.C. SAN FERMIN,1,76,https://www.rffm.es/fichajugador/10007636?temporada=19,2026-08-06T09:19:55.784201+00:00
10007636,2023-2024,19,17145570,SEGUNDA INFANTIL,17145605,Grupo 36,2162,A.D.C. SAN FERMIN 'A',A.D.C. SAN FERMIN,13,16,https://www.rffm.es/fichajugador/10007636?temporada=19,2026-08-06T09:19:55.784201+00:00
10007636,2023-2024,19,17145570,SEGUNDA INFANTIL,17145604,Grupo 35,2163,A.D.C. SAN FERMIN 'B',A.D.C. SAN FERMIN,2,61,https://www.rffm.es/fichajugador/10007636?temporada=19,2026-08-06T09:19:55.784201+00:00
10007725,2023-2024,19,21412194,T. CAMPEONES PREFERENTE ALEVIN F-7 FASE FINAL,21412195,SEMIFINALES Y FINAL,334056,A.D.C. SAN FERMIN 'A',A.D.C. SAN FERMIN,0,0,https://www.rffm.es/fichajugador/10007725?temporada=19,2026-08-06T09:19:55.907208+00:00
10007725,2023-2024,19,21366866,TORNEO DE CAMPEONES PREFERENTE ALEVIN F-7,21394205,CUADRANGULAR 2,334056,A.D.C. SAN FERMIN 'A',A.D.C. SAN FERMIN,2,4,https://www.rffm.es/fichajugador/10007725?temporada=19,2026-08-06T09:19:55.907208+00:00
10007725,2023-2024,19,17145856,PREFERENTE ALEVIN F-7,17145862,GRUPO 6,334056,A.D.C. SAN FERMIN 'A',A.D.C. SAN FERMIN,1,76,https://www.rffm.es/fichajugador/10007725?temporada=19,2026-08-06T09:19:55.907208+00:00
10007725,2023-2024,19,17145570,SEGUNDA INFANTIL,17145605,Grupo 36,2162,A.D.C. SAN FERMIN 'A',A.D.C. SAN FERMIN,13,16,https://www.rffm.es/fichajugador/10007725?temporada=19,2026-08-06T09:19:55.907208+00:00
10007725,2023-2024,19,17145570,SEGUNDA INFANTIL,17145604,Grupo 35,2163,A.D.C. SAN FERMIN 'B',A.D.C. SAN FERMIN,2,61,https://www.rffm.es/fichajugador/10007725?temporada=19,2026-08-06T09:19:55.907208+00:00
