venue_id,venue_name,address,locality,province,postal_code,latitude,longitude,google_maps_url,field_type_raw,surface_raw,source_url,scraped_at
12292303,CIUDAD DPTVA. FUND. RAYO VALLECANO 4 (HA),CALLE DEL RAYO VALLECANO DE MADRID 2,Madrid,Madrid,28051,40.3769632,-3.6124013,"https://www.google.com/maps?q=40.3769632,-3.6124013",Fútbol 11,Hierba Artificial,https://www.rffm.es/campo/12292303,2026-08-02T22:44:19.884496+00:00
12292313,CIUDAD DPTVA. FUND. RAYO VALLECANO 5 (HB),CALLE DEL RAYO VALLECANO DE MADRID 2,Madrid,Madrid,28051,40.3769632,-3.6124013,"https://www.google.com/maps?q=40.3769632,-3.6124013",Fútbol 11,Hierba Natural,https://www.rffm.es/campo/12292313,2026-08-02T22:44:19.509725+00:00
12292321,CIUDAD DPTVA. FUND. RAYO VALLECANO 3 (HA),CALLE DEL RAYO VALLECANO DE MADRID 2,Madrid,Madrid,28051,40.3769632,-3.6124013,"https://www.google.com/maps?q=40.3769632,-3.6124013",Fútbol 11,Hierba Artificial,https://www.rffm.es/campo/12292321,2026-08-02T22:44:20.167702+00:00
12292591,CIUDAD REAL MADRID 3 (HA) ,CAMINO DE SINTRA 4,Madrid,Madrid,28055,40.4726532,-3.611888500000001,"https://www.google.com/maps?q=40.4726532,-3.611888500000001",Fútbol 11,Hierba Artificial,https://www.rffm.es/campo/12292591,2026-08-02T22:44:19.932599+00:00
12296265,CIUDAD REAL MADRID 5 (HA),CAMINO DE SINTRA 4,Madrid,Madrid,28055,40.4726532,-3.611888500000001,"https://www.google.com/maps?q=40.4726532,-3.611888500000001",Fútbol 11,Hierba Artificial,https://www.rffm.es/campo/12296265,2026-08-02T22:44:20.022882+00:00
12296292,GETAFE - ALHONDIGA SECTOR III 2 (HA) ,CTRA. DE LEGANES S/N,Madrid,Madrid,28905,40.3137221,-3.7413205,"https://www.google.com/maps?q=40.3137221,-3.7413205",Fútbol 11,Hierba Artificial,https://www.rffm.es/campo/12296292,2026-08-02T22:44:20.197778+00:00
12297817,LOS CARMENES 2 (HA),CALLE ALHAMBRA 37,Madrid,Madrid,28047,40.396904,-3.7436902,"https://www.google.com/maps?q=40.396904,-3.7436902",Fútbol 11,Hierba Artificial,https://www.rffm.es/campo/12297817,2026-08-02T22:44:20.770140+00:00
123,PVO. LA MASÓ (HA),CALLE DE LA MASÓ 80,Madrid,Madrid,28034,40.4841081,-3.7148732,"https://www.google.com/maps?q=40.4841081,-3.7148732",Fútbol 11,Hierba Artificial,https://www.rffm.es/campo/123,2026-08-02T22:44:20.436567+00:00
12301612,CDM. ORCASITAS 2 (HA),AVDA. RAFAELA YBARRA 52,Madrid,Madrid,28026,40.3756263,-3.7126159,"https://www.google.com/maps?q=40.3756263,-3.7126159",Fútbol 11,Hierba Artificial,https://www.rffm.es/campo/12301612,2026-08-02T22:44:20.463795+00:00
12301698,CDM. ORCASITAS 3 (HA),AVDA. RAFAELA YBARRA 52,Madrid,Madrid,28026,40.3756263,-3.7126159,"https://www.google.com/maps?q=40.3756263,-3.7126159",Fútbol 11,Hierba Artificial,https://www.rffm.es/campo/12301698,2026-08-02T22:44:20.754046+00:00
1231,LAS ROZAS - PVO. DEHESA DE NAVALCARBON 1 (HA),AVDA. NTRA. SRA. DEL RETAMAR 16,Las Rozas de Madrid,Madrid,28232,40.5069984,-3.8895955,"https://www.google.com/maps?q=40.5069984,-3.8895955",Fútbol 11,Hierba Artificial,https://www.rffm.es/campo/1231,2026-08-02T22:44:20.817663+00:00
1234,POZUELO - VALLE DE LAS CAÑAS 2 (HA),AVDA. JUAN ANTONIO SAMARANCH TORELLÓ 8,Pozuelo De Alarcón,Madrid,28223,40.4206223,-3.8198176,"https://www.google.com/maps?q=40.4206223,-3.8198176",Fútbol 11,Hierba Artificial,https://www.rffm.es/campo/1234,2026-08-02T22:44:20.570874+00:00
