player_id,season,season_id,called_up,starter_appearances,substitute_appearances,matches_played,goals_total,goals_per_match,yellow_cards,red_cards,second_yellow_cards,is_goalkeeper,jersey_number,source_url,scraped_at
10207657,2022-2023,18,22,22,0,22,4,0.2,1,0,0,False,5,https://www.rffm.es/fichajugador/10207657?temporada=18,2026-08-07T08:32:39.716226+00:00
10208001,2022-2023,18,24,24,0,24,2,0.1,2,0,0,False,19,https://www.rffm.es/fichajugador/10208001?temporada=18,2026-08-07T08:32:40.093035+00:00
10207982,2022-2023,18,24,24,0,24,3,0.1,0,0,0,False,9,https://www.rffm.es/fichajugador/10207982?temporada=18,2026-08-07T08:32:40.097248+00:00
10208017,2022-2023,18,28,28,0,28,11,0.4,0,0,0,False,2,https://www.rffm.es/fichajugador/10208017?temporada=18,2026-08-07T08:32:40.401925+00:00
10208085,2022-2023,18,26,26,0,26,6,0.2,1,0,0,False,5,https://www.rffm.es/fichajugador/10208085?temporada=18,2026-08-07T08:32:40.533061+00:00
10208026,2022-2023,18,18,18,0,18,2,0.1,0,0,0,False,11,https://www.rffm.es/fichajugador/10208026?temporada=18,2026-08-07T08:32:40.646114+00:00
10208212,2022-2023,18,22,15,7,22,0,0.0,0,0,0,False,3,https://www.rffm.es/fichajugador/10208212?temporada=18,2026-08-07T08:32:40.656538+00:00
10208126,2022-2023,18,23,16,7,23,1,0.0,0,0,0,False,5,https://www.rffm.es/fichajugador/10208126?temporada=18,2026-08-07T08:32:40.821491+00:00
10208159,2022-2023,18,17,2,15,17,0,0.0,1,0,0,False,54,https://www.rffm.es/fichajugador/10208159?temporada=18,2026-08-07T08:32:41.069662+00:00
10208533,2022-2023,18,20,20,0,20,1,0.1,1,0,0,False,4,https://www.rffm.es/fichajugador/10208533?temporada=18,2026-08-07T08:32:41.517196+00:00
10208525,2022-2023,18,25,11,14,25,1,0.0,0,0,0,False,6,https://www.rffm.es/fichajugador/10208525?temporada=18,2026-08-07T08:32:41.598140+00:00
10208286,2022-2023,18,22,22,0,22,4,0.2,0,0,0,False,10,https://www.rffm.es/fichajugador/10208286?temporada=18,2026-08-07T08:32:41.673516+00:00
10208579,2022-2023,18,22,22,0,22,1,0.0,0,0,0,False,5,https://www.rffm.es/fichajugador/10208579?temporada=18,2026-08-07T08:32:41.720550+00:00
10209002,2022-2023,18,24,21,3,24,1,0.0,3,0,0,False,11,https://www.rffm.es/fichajugador/10209002?temporada=18,2026-08-07T08:32:41.841843+00:00
10208607,2022-2023,18,12,0,12,12,1,0.1,0,0,0,False,17,https://www.rffm.es/fichajugador/10208607?temporada=18,2026-08-07T08:32:41.949767+00:00
10209163,2022-2023,18,20,13,7,20,12,0.6,2,0,0,False,10,https://www.rffm.es/fichajugador/10209163?temporada=18,2026-08-07T08:32:42.053836+00:00
10209309,2022-2023,18,19,10,9,19,0,0.0,0,0,0,True,31,https://www.rffm.es/fichajugador/10209309?temporada=18,2026-08-07T08:32:42.186229+00:00
10209920,2022-2023,18,1,0,1,1,0,0.0,0,0,0,False,21,https://www.rffm.es/fichajugador/10209920?temporada=18,2026-08-07T08:32:42.573283+00:00
10209579,2022-2023,18,15,10,5,15,1,0.1,0,0,0,False,5,https://www.rffm.es/fichajugador/10209579?temporada=18,2026-08-07T08:32:42.583091+00:00
10209463,2022-2023,18,25,14,11,25,2,0.1,0,0,0,False,10,https://www.rffm.es/fichajugador/10209463?temporada=18,2026-08-07T08:32:42.848631+00:00
10210216,2022-2023,18,17,11,6,17,9,0.5,1,0,0,False,19,https://www.rffm.es/fichajugador/10210216?temporada=18,2026-08-07T08:32:42.956508+00:00
10210571,2022-2023,18,16,16,0,16,3,0.2,0,0,0,False,2,https://www.rffm.es/fichajugador/10210571?temporada=18,2026-08-07T08:32:43.033387+00:00
10210386,2022-2023,18,25,25,0,25,24,1.0,0,0,0,False,10,https://www.rffm.es/fichajugador/10210386?temporada=18,2026-08-07T08:32:43.054156+00:00
10210801,2022-2023,18,21,10,11,21,0,0.0,0,0,0,False,20,https://www.rffm.es/fichajugador/10210801?temporada=18,2026-08-07T08:32:43.298436+00:00
10211022,2022-2023,18,19,19,0,19,5,0.3,0,0,0,False,4,https://www.rffm.es/fichajugador/10211022?temporada=18,2026-08-07T08:32:43.466667+00:00
10211225,2022-2023,18,20,20,0,20,11,0.6,0,0,0,False,7,https://www.rffm.es/fichajugador/10211225?temporada=18,2026-08-07T08:32:43.900990+00:00
10211238,2022-2023,18,23,14,9,23,0,0.0,3,1,0,False,14,https://www.rffm.es/fichajugador/10211238?temporada=18,2026-08-07T08:32:43.923144+00:00
102113,2022-2023,18,17,17,0,17,0,0.0,5,0,0,False,6,https://www.rffm.es/fichajugador/102113?temporada=18,2026-08-07T08:32:44.091103+00:00
10211307,2022-2023,18,14,14,0,14,12,0.9,0,0,0,False,7,https://www.rffm.es/fichajugador/10211307?temporada=18,2026-08-07T08:32:44.268852+00:00
10211335,2022-2023,18,14,13,1,14,1,0.1,0,0,0,False,8,https://www.rffm.es/fichajugador/10211335?temporada=18,2026-08-07T08:32:44.273343+00:00
10211507,2022-2023,18,28,15,13,26,1,0.0,1,0,0,False,16,https://www.rffm.es/fichajugador/10211507?temporada=18,2026-08-07T08:32:44.341600+00:00
10211532,2022-2023,18,20,20,0,20,3,0.2,0,0,0,False,17,https://www.rffm.es/fichajugador/10211532?temporada=18,2026-08-07T08:32:44.541102+00:00
10211549,2022-2023,18,23,17,6,23,1,0.0,0,0,0,False,22,https://www.rffm.es/fichajugador/10211549?temporada=18,2026-08-07T08:32:44.973654+00:00
10211576,2022-2023,18,24,24,0,24,1,0.0,0,0,0,False,9,https://www.rffm.es/fichajugador/10211576?temporada=18,2026-08-07T08:32:45.065028+00:00
10211568,2022-2023,18,16,6,10,16,0,0.0,1,0,0,False,11,https://www.rffm.es/fichajugador/10211568?temporada=18,2026-08-07T08:32:45.110915+00:00
10211699,2022-2023,18,25,13,12,22,3,0.1,4,0,0,True,18,https://www.rffm.es/fichajugador/10211699?temporada=18,2026-08-07T08:32:45.334031+00:00
10212090,2022-2023,18,17,1,16,17,2,0.1,0,0,0,False,15,https://www.rffm.es/fichajugador/10212090?temporada=18,2026-08-07T08:32:45.461661+00:00
10212170,2022-2023,18,21,8,13,21,4,0.2,0,0,0,False,26,https://www.rffm.es/fichajugador/10212170?temporada=18,2026-08-07T08:32:45.526712+00:00
10212215,2022-2023,18,17,17,0,17,2,0.1,0,0,0,False,22,https://www.rffm.es/fichajugador/10212215?temporada=18,2026-08-07T08:32:45.536496+00:00
10212242,2022-2023,18,22,22,0,22,14,0.6,0,0,0,False,19,https://www.rffm.es/fichajugador/10212242?temporada=18,2026-08-07T08:32:46.045497+00:00
10212258,2022-2023,18,10,10,0,10,1,0.1,0,0,0,False,6,https://www.rffm.es/fichajugador/10212258?temporada=18,2026-08-07T08:32:46.260823+00:00
102131,2022-2023,18,24,22,2,24,0,0.0,1,0,0,False,4,https://www.rffm.es/fichajugador/102131?temporada=18,2026-08-07T08:32:46.402404+00:00
10213018,2022-2023,18,22,13,9,21,3,0.1,3,0,0,False,6,https://www.rffm.es/fichajugador/10213018?temporada=18,2026-08-07T08:32:46.626394+00:00
102133,2022-2023,18,20,19,1,20,4,0.2,5,0,0,False,6,https://www.rffm.es/fichajugador/102133?temporada=18,2026-08-07T08:32:46.672802+00:00
10213531,2022-2023,18,22,6,16,22,1,0.0,0,0,0,False,6,https://www.rffm.es/fichajugador/10213531?temporada=18,2026-08-07T08:32:46.803404+00:00
10213702,2022-2023,18,22,16,6,22,0,0.0,0,0,0,False,5,https://www.rffm.es/fichajugador/10213702?temporada=18,2026-08-07T08:32:46.953170+00:00
10213711,2022-2023,18,22,22,0,22,30,1.4,0,0,0,False,11,https://www.rffm.es/fichajugador/10213711?temporada=18,2026-08-07T08:32:46.970948+00:00
10213725,2022-2023,18,18,18,0,18,0,0.0,0,0,0,True,25,https://www.rffm.es/fichajugador/10213725?temporada=18,2026-08-07T08:32:47.003453+00:00
10213757,2022-2023,18,18,8,10,18,2,0.1,0,0,0,True,33,https://www.rffm.es/fichajugador/10213757?temporada=18,2026-08-07T08:32:47.184452+00:00
